region,month,export_value
SoutheastAsia,2016-01-01,263655594.957
SoutheastAsia,2016-02-01,290111078.421
SoutheastAsia,2016-03-01,340401239.807
SoutheastAsia,2016-04-01,368698147.618
SoutheastAsia,2016-05-01,334190740.86
SoutheastAsia,2016-06-01,318557121.093
SoutheastAsia,2016-07-01,286530896.328
SoutheastAsia,2016-08-01,297128650.963
SoutheastAsia,2016-09-01,288279652.115
SoutheastAsia,2016-10-01,213808242.499
SoutheastAsia,2016-11-01,140332107.648
SoutheastAsia,2016-12-01,133207910.002
SoutheastAsia,2017-01-01,128201994.06799999
SoutheastAsia,2017-02-01,146244457.299
SoutheastAsia,2017-03-01,168679487.825
SoutheastAsia,2017-04-01,155495060.935
SoutheastAsia,2017-05-01,141882085.81
SoutheastAsia,2017-06-01,165553396.681
SoutheastAsia,2017-07-01,195453952.819
SoutheastAsia,2017-08-01,235074967.55699998
SoutheastAsia,2017-09-01,228632290.253
SoutheastAsia,2017-10-01,214722466.774
SoutheastAsia,2017-11-01,195735590.91799998
SoutheastAsia,2017-12-01,170913418.448
SoutheastAsia,2018-01-01,112220636.41600001
SoutheastAsia,2018-02-01,126595364.17500001
SoutheastAsia,2018-03-01,124980979.265
SoutheastAsia,2018-04-01,109180637.60800001
SoutheastAsia,2018-05-01,125175861.425
SoutheastAsia,2018-06-01,141947290.889
SoutheastAsia,2018-07-01,154554530.155
SoutheastAsia,2018-08-01,187576623.79099998
SoutheastAsia,2018-09-01,183864735.93899998
SoutheastAsia,2018-10-01,188192820.571
SoutheastAsia,2018-11-01,117246828.942
SoutheastAsia,2018-12-01,205117436.15399998
SoutheastAsia,2019-01-01,198531010.77100003
SoutheastAsia,2019-02-01,130084299.99700001
SoutheastAsia,2019-03-01,215376852.517
SoutheastAsia,2019-04-01,207382276.447
SoutheastAsia,2019-05-01,232045465.28599998
SoutheastAsia,2019-06-01,332311694.462
SoutheastAsia,2019-07-01,272262747.306
SoutheastAsia,2019-08-01,336752033.752
SoutheastAsia,2019-09-01,307943183.653
SoutheastAsia,2019-10-01,297027179.60099995
SoutheastAsia,2019-11-01,305065115.378
SoutheastAsia,2019-12-01,376125130.82600003
SoutheastAsia,2020-01-01,314598264.678
SoutheastAsia,2020-02-01,287617857.543
SoutheastAsia,2020-03-01,313420854.26600003
SoutheastAsia,2020-04-01,212104251.486
SoutheastAsia,2020-05-01,206829938.235
SoutheastAsia,2020-06-01,281613537.629
SoutheastAsia,2020-07-01,308422922.481
SoutheastAsia,2020-08-01,206306182.632
SoutheastAsia,2020-09-01,245848132.272
SoutheastAsia,2020-10-01,267674624.0
SoutheastAsia,2020-11-01,213328042.639
SoutheastAsia,2020-12-01,254018503.353
