region,month,export_value
SoutheastAsia,2012-08-01,469055957.944
SoutheastAsia,2012-09-01,476243316.514
SoutheastAsia,2012-10-01,464629861.968
SoutheastAsia,2012-11-01,413107155.214
SoutheastAsia,2012-12-01,382893723.002
SoutheastAsia,2013-01-01,428444562.76
SoutheastAsia,2013-02-01,377710750.23
SoutheastAsia,2013-03-01,460785993.814
SoutheastAsia,2013-04-01,317331868.163
SoutheastAsia,2013-05-01,683052396.3429999
SoutheastAsia,2013-06-01,496167026.355
SoutheastAsia,2013-07-01,531850553.83299994
SoutheastAsia,2013-08-01,521444818.893
SoutheastAsia,2013-09-01,543277572.176
SoutheastAsia,2013-10-01,563784246.457
SoutheastAsia,2013-11-01,559916722.892
SoutheastAsia,2013-12-01,510119822.478
SoutheastAsia,2014-01-01,533526254.301
SoutheastAsia,2014-02-01,506976420.362
SoutheastAsia,2014-03-01,530200579.622
SoutheastAsia,2014-04-01,528626778.709
SoutheastAsia,2014-05-01,543838927.4909999
SoutheastAsia,2014-06-01,576458802.478
SoutheastAsia,2014-07-01,258009973.445
SoutheastAsia,2014-08-01,504136637.686
SoutheastAsia,2014-09-01,559132627.193
SoutheastAsia,2014-10-01,614480391.929
SoutheastAsia,2014-11-01,679685358.2409999
SoutheastAsia,2014-12-01,705560002.909
SoutheastAsia,2015-01-01,579959133.561
SoutheastAsia,2015-02-01,583545893.285
SoutheastAsia,2015-03-01,701234015.213
SoutheastAsia,2015-04-01,617677976.182
SoutheastAsia,2015-05-01,672586697.186
SoutheastAsia,2015-06-01,715323408.3000001
SoutheastAsia,2015-07-01,662194209.538
SoutheastAsia,2015-08-01,627864700.954
SoutheastAsia,2015-09-01,752799161.657
SoutheastAsia,2015-10-01,801920410.212
SoutheastAsia,2015-11-01,702254113.729
SoutheastAsia,2015-12-01,810270349.735
SoutheastAsia,2016-01-01,760278789.74
SoutheastAsia,2016-02-01,699249487.684
SoutheastAsia,2016-03-01,757001253.1
SoutheastAsia,2016-04-01,829139661.266
SoutheastAsia,2016-05-01,789442082.907
SoutheastAsia,2016-06-01,831215781.597
SoutheastAsia,2016-07-01,746641392.309
SoutheastAsia,2016-08-01,838869274.056
SoutheastAsia,2016-09-01,875108905.954
SoutheastAsia,2016-10-01,770703106.622
SoutheastAsia,2016-11-01,682412590.911
SoutheastAsia,2016-12-01,705036280.437
SoutheastAsia,2017-01-01,551281809.558
SoutheastAsia,2017-02-01,651904353.952
SoutheastAsia,2017-03-01,655001434.58
SoutheastAsia,2017-04-01,664507411.507
SoutheastAsia,2017-05-01,691923245.927
SoutheastAsia,2017-06-01,700636434.058
SoutheastAsia,2017-07-01,745784754.992
SoutheastAsia,2017-08-01,778324375.948
SoutheastAsia,2017-09-01,725070183.08
SoutheastAsia,2017-10-01,723073287.5090001
SoutheastAsia,2017-11-01,706072954.658
SoutheastAsia,2017-12-01,649010719.108
SoutheastAsia,2018-01-01,666212751.6949999
SoutheastAsia,2018-02-01,630006423.842
SoutheastAsia,2018-03-01,690350862.153
SoutheastAsia,2018-04-01,624815739.743
SoutheastAsia,2018-05-01,665744901.65
SoutheastAsia,2018-06-01,657162397.816
SoutheastAsia,2018-07-01,601491040.916
SoutheastAsia,2018-08-01,635591896.428
SoutheastAsia,2018-09-01,636579887.962
SoutheastAsia,2018-10-01,671340702.094
SoutheastAsia,2018-11-01,548499369.022
SoutheastAsia,2018-12-01,609746079.03
SoutheastAsia,2019-01-01,592988120.706
SoutheastAsia,2019-02-01,477662033.939
SoutheastAsia,2019-03-01,635254762.4629999
SoutheastAsia,2019-04-01,623165185.217
SoutheastAsia,2019-05-01,621489856.574
SoutheastAsia,2019-06-01,689220486.4499999
SoutheastAsia,2019-07-01,680370198.525
SoutheastAsia,2019-08-01,696175753.2739999
SoutheastAsia,2019-09-01,712838238.077
SoutheastAsia,2019-10-01,746447811.271
SoutheastAsia,2019-11-01,717527784.281
SoutheastAsia,2019-12-01,775037868.614
SoutheastAsia,2020-01-01,693562898.896
SoutheastAsia,2020-02-01,610485106.1259999
SoutheastAsia,2020-03-01,714253838.07
SoutheastAsia,2020-04-01,596733909.548
SoutheastAsia,2020-05-01,553935088.3050001
SoutheastAsia,2020-06-01,728186053.915
SoutheastAsia,2020-07-01,755679863.227
SoutheastAsia,2020-08-01,680778693.974
SoutheastAsia,2020-09-01,745488979.712
SoutheastAsia,2020-10-01,760806227.809
SoutheastAsia,2020-11-01,746438031.875
SoutheastAsia,2020-12-01,843146537.755
