,country,month,export_value
275,Singapore,2011-08-01,259636349.0
276,Thailand,2011-08-01,18445518.0
277,USA,2011-08-01,242085382.0
278,Rep. of Korea,2011-08-01,189530178.441
279,Viet Nam,2011-08-01,334176.908
280,China,2011-09-01,2028489196.0
281,"China, Hong Kong SAR",2011-09-01,184495541.106
282,France,2011-09-01,43848306.72
283,Germany,2011-09-01,623234771.664
284,Italy,2011-09-01,27216597.78
285,Japan,2011-09-01,620649952.0
286,Malaysia,2011-09-01,216686975.256
287,Netherlands,2011-09-01,204548775.514
288,Philippines,2011-09-01,79467912.0
289,Singapore,2011-09-01,172754080.0
290,Thailand,2011-09-01,20148465.0
291,USA,2011-09-01,230523826.0
292,Rep. of Korea,2011-09-01,248245969.853
293,Viet Nam,2011-09-01,106559.761
294,China,2011-10-01,1980777967.0
295,"China, Hong Kong SAR",2011-10-01,242608152.356
296,France,2011-10-01,56096094.978
297,Germany,2011-10-01,451514858.348
298,Italy,2011-10-01,17942181.95
299,Japan,2011-10-01,523160007.552
300,Malaysia,2011-10-01,257205835.355
301,Netherlands,2011-10-01,134342607.322
302,Philippines,2011-10-01,121272257.0
303,Singapore,2011-10-01,258893189.0
304,Thailand,2011-10-01,12378372.0
305,USA,2011-10-01,262600339.0
306,Rep. of Korea,2011-10-01,216910189.609
307,Viet Nam,2011-10-01,81930.87700000001
308,China,2011-11-01,1933924426.0
309,"China, Hong Kong SAR",2011-11-01,637929083.506
310,France,2011-11-01,46048484.848
311,Germany,2011-11-01,529127034.481
312,Italy,2011-11-01,26846370.18
313,Japan,2011-11-01,396256259.3
314,Malaysia,2011-11-01,175313319.512
315,Netherlands,2011-11-01,195461250.089
316,Philippines,2011-11-01,85581584.0
317,Singapore,2011-11-01,157047340.0
318,Thailand,2011-11-01,3170767.0
319,USA,2011-11-01,192253052.0
320,Rep. of Korea,2011-11-01,180228297.894
321,Viet Nam,2011-11-01,254007.183
322,China,2011-12-01,1531800481.0
323,"China, Hong Kong SAR",2011-12-01,222534607.479
324,France,2011-12-01,33172478.709
325,Germany,2011-12-01,415178846.191
326,Italy,2011-12-01,65584028.316
327,Japan,2011-12-01,460251009.764
328,Malaysia,2011-12-01,223983348.357
329,Netherlands,2011-12-01,123183302.492
330,Philippines,2011-12-01,62715855.0
331,Singapore,2011-12-01,173376885.0
332,Thailand,2011-12-01,6659151.0
333,USA,2011-12-01,196152197.0
334,Rep. of Korea,2011-12-01,152134750.34
335,Viet Nam,2011-12-01,271621.83
336,China,2012-01-01,1389856947.0
